Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1
logistic_lasso,2:2,27,0.8803418803418805,0.03741859127226125,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29180695847362514,0.2896486229819563,0.7997837492087005,0.7848746605553057,0.7897518110109394
Naive Bayes,2:2,27,0.8019943019943021,0.05420597604114087,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29180695847362514,0.2896486229819563,0.6586250641152602,0.6794422395679407,0.664234508969212
svm,2:2,28,0.8713369963369962,0.042449277858138575,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2878787878787879,0.3012820512820512,0.8284212851393831,0.7330849251472585,0.7721232977194993
logistic,2:2,28,0.8727106227106226,0.03476236794157933,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2878787878787879,0.3012820512820512,0.8490946410924586,0.7120622140699787,0.7697636248039751
logistic_lasso,2:2,28,0.889194139194139,0.03181493180593447,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2878787878787879,0.3012820512820512,0.8463739275453086,0.7836740085225117,0.8096790781387755
Naive Bayes,2:2,28,0.804029304029304,0.04208470803324564,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2878787878787879,0.3012820512820512,0.6993057192414085,0.6500495751246073,0.6630981245214986
svm,2:2,29,0.8687002652519891,0.034770613797056926,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29153605015673983,0.29045092838196285,0.8075211181969066,0.7309983309006823,0.7615910426790719
logistic,2:2,29,0.8642793987621572,0.03307682735633933,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29153605015673983,0.29045092838196285,0.8220089207202386,0.6884973146623901,0.7449384349558303
logistic_lasso,2:2,29,0.8846153846153846,0.030301484506089826,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29153605015673983,0.29045092838196285,0.8250689922708712,0.7686331657885355,0.7919628458100392
Naive Bayes,2:2,29,0.8169761273209549,0.037777073725178176,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29153605015673983,0.29045092838196285,0.6971953295775595,0.6658264141541582,0.6764764513276141
svm,2:2,30,0.866239316239316,0.03221043108754064,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28932178932178937,0.297008547008547,0.789919754810663,0.7484021895110716,0.7633071162517653
logistic,2:2,30,0.866239316239316,0.027830325051564003,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28932178932178937,0.297008547008547,0.808903847399798,0.7186581811980128,0.7572320026574599
logistic_lasso,2:2,30,0.888888888888889,0.026756368961535954,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28932178932178937,0.297008547008547,0.8288779314652783,0.7848604707341061,0.8015437795153434
Naive Bayes,2:2,30,0.8012820512820511,0.039132327190432095,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28932178932178937,0.297008547008547,0.6822702441834141,0.6455118533438404,0.6541625912887732
svm,2:2,31,0.8622828784119106,0.04053780233198627,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28822790113112695,0.30024813895781644,0.8047797809414883,0.7152459552531244,0.7522785422148792
logistic,2:2,31,0.8651778329197685,0.03739505229266275,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28822790113112695,0.30024813895781644,0.8267539164205788,0.6982949042446522,0.7513093520750436
logistic_lasso,2:2,31,0.8895781637717121,0.029067466320604772,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28822790113112695,0.30024813895781644,0.8316682891977352,0.7957266735305419,0.8087756882398079
Naive Bayes,2:2,31,0.8097601323407775,0.04950356660858562,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28822790113112695,0.30024813895781644,0.6981640139317116,0.6537116425578455,0.6679564160858942
svm,2:2,32,0.875400641025641,0.03558044204703375,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29004329004329,0.29487179487179493,0.8165372992702546,0.7483600614900777,0.7760537007813645
logistic,2:2,32,0.8770032051282051,0.03763254231217595,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29004329004329,0.29487179487179493,0.840629307507536,0.7244313088412384,0.7730549189690695
logistic_lasso,2:2,32,0.891826923076923,0.03220117195097776,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29004329004329,0.29487179487179493,0.83024237393118,0.7967701267905704,0.8095585484229503
Naive Bayes,2:2,32,0.8209134615384615,0.041355392403547735,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29004329004329,0.29487179487179493,0.7153601905205629,0.6761403464741313,0.6874402369588224
svm,2:2,33,0.8671328671328672,0.036917759186339084,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2900432900432901,0.2948717948717949,0.8037361858440901,0.7343829052341504,0.7632188582268251
logistic,2:2,33,0.8725718725718726,0.03746964901687486,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2900432900432901,0.2948717948717949,0.835644526831613,0.71457807873596,0.7656765441655686
logistic_lasso,2:2,33,0.8850038850038848,0.032415928585863486,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2900432900432901,0.2948717948717949,0.8251123813848924,0.7836907078668421,0.7999321294380745
